Année,Marque,Modèle,Catégorie de,Moteur,Cylindrée,Cylindres,Transmission,Type de,Consommation,Autonomie 1,Temps de,Type de,Consommation,,,Autonomie 2,Émissions de,Indice,Indice
2020,Hyundai,IONIQ Electric Plus,Intermédiaire,45,1.6,4,AM6,B/X*,2.0 ([17.7 kWh + 0.0 L]/100 km),47,2.3,X,4.4,4.6,4.5,961,46,10,7
2020,Kia,Niro Plug-in Hybrid,Familiale : petite,45,1.6,4,AM6,B/X*,2.2 ([19.7 kWh + 0.0 L]/100 km),42,2.25,X,4.9,5.3,5.1,853,56,10,7
2020,Kia,Optima Plug-in Hybrid,Intermédiaire,50,2.0,4,AM6,B/X*,2.3 ([20.7 kWh + 0.0 L]/100 km),45,2.7,X,6.0,5.3,5.7,962,60,10,7
2020,Lincoln,Aviator Grand Touring,VUS : ordinaire,62,3.0,6,AS10,B/X*,4.2 ([37.5 kWh + 0.0 L]/100 km),34,3.5,X,10.9,9.6,10.3,713,130,9,7
2020,Mercedes-Benz,GLC 350e 4MATIC,VUS : petit,90,2.0,4,A9,B/Z*,3.4 ([30.8 kWh + 0.0 L]/100 km),35,1.3,Z,10.2,8.4,9.4,538,109,10,5
2020,Mercedes-Benz,S 560e,Grande berline,90,3.0,6,A9,B/Z*,3.7 ([32.7 kWh + 0.0 L]/100 km),31,1.3,Z,11.4,9.0,10.3,785,127,9,3
2020,MINI,Cooper SE Countryman ALL4,Intermédiaire,65,1.5,3,AS6,B/Z*,3.2 ([28.6 kWh + 0.0 L]/100 km),29,3,Z,8.1,7.9,8.0,451,109,10,3
2020,Mitsubishi,Outlander PHEV AWD,VUS : petit,60,2.0,4,A1,B/X*,3.2 ([27.7 kWh + 0.0 L]/100 km),35,3.5,X,9.4,9.0,9.2,463,108,10,7
2020,Porsche,Panamera 4 E-Hybrid,Grande berline,70,2.9,6,AM8,B,4.6 (40.3 kWh/100 km),23,3,Z,11.1,9.7,10.5,768,158,8,5
2020,Porsche,Panamera Turbo S E-Hybrid,Grande berline,70,4.0,8,AM8,B,4.9 (41.0 kWh/100 km),23,3,Z,12.3,10.6,11.5,695,180,7,3
2020,Subaru,Crosstrek Hybrid AWD,VUS : petit,100,2.0,4,AV,B/X*,2.6 ([23.5 kWh + 0.0 L]/100 km),27,2,X,6.6,6.8,6.7,747,94,10,6
2020,Toyota,Prius Prime,Intermédiaire,71,1.8,4,AV,B/X*,1.8 ([15.8 kWh + 0.0 L]/100 km),40,2,X,4.3,4.4,4.3,995,49,10,7
2020,Volvo,S60 T8 AWD,Compacte,65,2.0,4,AS8,B/Z*,3.2 ([29.0 kWh + 0.0 L]/100 km),35,3,Z,8.4,7.0,7.8,781,94,10,7
2020,Volvo,S90 T8 AWD,Intermédiaire,65,2.0,4,AS8,B/Z,3.7 ([31.4 kWh + 0.2 L]/100 km),34,3,Z,8.3,7.5,7.9,761,99,10,7
2020,Volvo,V60 T8 AWD,Familiale : petite,65,2.0,4,AS8,B/Z*,3.2 ([29.0 kWh + 0.0 L]/100 km),35,3,Z,8.4,7.0,7.8,781,94,10,7
2020,Volvo,XC60 T8 AWD,VUS : petit,65,2.0,4,AS8,B/Z*,4.2 ([38.2 kWh + 0.0 L]/100 km),27,3,Z,9.5,8.7,9.1,781,128,9,7
2020,Volvo,XC90 T8 AWD,VUS : ordinaire,65,2.0,4,AS8,B/Z*,4.0 ([36.1 kWh + 0.0 L]/100 km),29,3,Z,9.1,8.4,8.8,813,120,10,7
2021,Audi,A7 Sportback 55 TFSI e quattro,Intermédiaire,105,2.0,4,AM7,B/Z,3.5 ([28.7 kWh + 0.2 L]/100 km),39,2.4,Z,8.9,7.0,8.1,668,87,10,7
2021,Audi,A8 L Sedan 60 TFSI e quattro,Grande berline,100,3.0,6,AS8,B/Z*,4.4 ([39.2 kWh + 0.0 L]/100 km),29,2.4,Z,11.3,9.1,10.3,639,132,8,3
2021,Audi,Q5 55 TFSI e quattro,VUS : petit,105,2.0,4,AM7,B/Z,4.7 ([27.5 kWh + 1.5 L]/100 km),31,2.4,Z,9.3,8.2,8.8,608,103,10,7
2021,Bentley,Bentayga Hybrid,VUS : ordinaire,100,3.0,6,AS8,B/Z*,5.1 ([45.5 kWh + 0.0 L]/100 km),29,3,Z,13.9,11.2,12.7,599,159,7,3
2021,BMW,330e,Compacte,83,2.0,4,AS8,B/Z*,3.1 ([27.8 kWh + 0.0 L]/100 km),37,3,Z,9.4,7.2,8.4,486,100,10,3
2021,BMW,330e xDrive,Compacte,83,2.0,4,AS8,B/Z*,3.5 ([31.5 kWh + 0.0 L]/100 km),32,3,Z,10.7,7.9,9.4,436,119,9,3
2021,BMW,530e,Intermédiaire,83,2.0,4,AS8,B/Z,3.7 ([30.3 kWh + 0.2 L]/100 km),34,3,Z,9.6,8.0,8.9,520,111,9,7
2021,BMW,530e xDrive,Intermédiaire,83,2.0,4,AS8,B/Z*,3.8 ([32.9 kWh + 0.0 L]/100 km),31,3,Z,10.5,8.4,9.5,486,126,9,7
2021,BMW,745Le xDrive,Grande berline,83,3.0,6,AS8,B/Z*,4.2 ([37.4 kWh + 0.0 L]/100 km),27,3,Z,12.2,9.1,10.8,435,152,8,3
2021,BMW,i3 REx (120 Ah),Sous-compacte,125,0.6,2,A1,B,2.4 (19.9 kWh/100 km),203,7,Z,7.8,7.5,7.7,116,14,10,7
2021,BMW,i3s REx (120 Ah),Sous-compacte,135,0.6,2,A1,B,2.4 (19.9 kWh/100 km),203,7,Z,7.8,7.5,7.7,116,14,10,7
2021,BMW,X3 xDrive30e,VUS : petit,80,2.0,4,AS8,B/Z*,3.9 ([34.9 kWh + 0.0 L]/100 km),29,3,Z,11.0,8.6,9.9,512,127,9,7
2021,BMW,X5 xDrive45e,VUS : ordinaire,83,3.0,6,AS8,B/Z,4.7 ([38.8 kWh + 0.3 L]/100 km),50,5,Z,12.2,10.6,11.5,600,111,9,7
2021,Chrysler,Pacifica Hybrid,Fourgonnette,89,3.6,6,AV,B/X*,2.9 ([25.8 kWh + 0.0 L]/100 km),51,2,X,8.0,7.9,8.0,784,74,10,7
2021,Ford,Escape Plug-in Hybrid,VUS : petit,62,2.5,4,AV,B/X*,2.2 ([20.2 kWh + 0.0 L]/100 km),60,3.3,X,5.5,6.2,5.8,784,48,10,7
2021,Honda,Clarity Plug-in Hybrid,Intermédiaire,135,1.5,4,AV,B/X*,2.1 ([19.0 kWh + 0.0 L]/100 km),77,2.5,X,5.3,5.9,5.6,475,36,10,8
2021,Hyundai,IONIQ Plug-in Hybrid,Intermédiaire,45,1.6,4,AM6,B/X*,2.0 ([17.4 kWh + 0.0 L]/100 km),47,2.3,X,4.5,4.6,4.5,954,46,10,7
2021,Jeep,Wrangler 4xe,VUS : petit,100,2.0,4,A8,B/X*,4.8 ([42.2 kWh + 0.0 L]/100 km),35,2.4,X,11.6,11.9,11.7,557,143,8,5
2021,Karma,"GS-6 (21"" Wheels)",Sous-compacte,400,1.5,3,A1,B,3.4 (29.9 kWh/100 km),98,6.25,Z,8.8,9.5,9.1,428,44,10,7
2021,Karma,"GS-6 (22"" Wheels)",Sous-compacte,400,1.5,3,A1,B,3.8 (33.7 kWh/100 km),87,6.25,Z,10.7,11.0,10.8,360,60,10,7
2021,Karma,"Revero GT (21"" Wheels)",Sous-compacte,400,1.5,3,A1,B,3.4 (29.9 kWh/100 km),98,6.25,Z,8.8,9.5,9.1,428,44,10,7
2021,Karma,"Revero GT (22"" Wheels)",Sous-compacte,400,1.5,3,A1,B,3.8 (33.7 kWh/100 km),87,6.25,Z,10.7,11.0,10.8,360,60,10,7
2021,Kia,Niro Plug-in Hybrid,Familiale : petite,45,1.6,4,AM6,B/X*,2.2 ([19.7 kWh + 0.0 L]/100 km),42,2.25,X,4.9,5.3,5.1,853,56,10,7
2021,Lincoln,Aviator Grand Touring,VUS : ordinaire,62,3.0,6,AS10,B/X*,4.2 ([37.3 kWh + 0.0 L]/100 km),34,3.5,X,10.9,9.6,10.3,713,130,9,7
2021,Lincoln,Corsair Grand Touring,VUS : petit,62,2.5,4,AV,B/X*,3.0 ([26.9 kWh + 0.0 L]/100 km),45,3.4,X,6.9,7.3,7.1,644,73,10,7
2021,MINI,Cooper SE Countryman ALL4,Intermédiaire,65,1.5,3,AS6,B/Z*,3.2 ([28.4 kWh + 0.0 L]/100 km),29,3,Z,8.1,7.9,8.0,451,109,9,3
2021,Mitsubishi,Outlander PHEV AWD,VUS : petit,70,2.4,4,A1,B/X*,3.2 ([28.2 kWh + 0.0 L]/100 km),39,4,X,9.2,9.0,9.1,470,103,10,7
2021,Polestar,1,Minicompacte,170,2.0,4,AS8,B/Z*,3.9 ([35.4 kWh + 0.0 L]/100 km),84,9,Z,10.5,7.6,9.2,671,54,10,5
2021,Porsche,Cayenne E-Hybrid,VUS : ordinaire,99,3.0,6,AS8,B/Z*,5.1 ([44.9 kWh + 0.0 L]/100 km),27,3,Z,11.8,10.6,11.3,666,160,7,5
2021,Porsche,Cayenne Turbo S E-Hybrid,VUS : ordinaire,99,4.0,8,AS8,B/Z*,5.6 ([51.2 kWh + 0.0 L]/100 km),24,3,Z,13.8,12.1,13.0,578,199,6,3
2021,Porsche,Panamera 4 E-Hybrid,Grande berline,70,2.9,6,AM8,B/Z*,4.5 ([39.6 kWh + 0.0 L]/100 km),31,3,Z,11.4,10.0,10.8,745,144,8,5
2021,Porsche,Panamera Turbo S E-Hybrid,Grande berline,70,4.0,8,AM8,B/Z*,4.9 ([43.8 kWh + 0.0 L]/100 km),27,3,Z,13.2,10.8,12.1,665,171,7,3
2021,Subaru,Crosstrek Hybrid AWD,VUS : petit,100,2.0,4,AV,B/X*,2.6 ([23.5 kWh + 0.0 L]/100 km),27,2,X,6.6,6.8,6.7,747,94,10,6
2021,Toyota,Prius Prime,Intermédiaire,71,1.8,4,AV,B/X*,1.8 ([15.8 kWh + 0.0 L]/100 km),40,2,X,4.3,4.4,4.3,995,49,10,7
2021,Toyota,RAV4 Prime,VUS : petit,134,2.5,4,AV,B/X*,2.5 ([22.3 kWh + 0.0 L]/100 km),68,4.5,X,5.7,6.4,6.0,911,44,10,7
2021,Volvo,S60 T8 AWD,Compacte,65,2.0,4,AS8,B/Z*,3.2 ([29.0 kWh + 0.0 L]/100 km),35,3,Z,8.4,7.0,7.8,781,94,10,7
2021,Volvo,S90 T8 AWD,Intermédiaire,65,2.0,4,AS8,B/Z,3.7 ([31.4 kWh + 0.2 L]/100 km),34,3,Z,8.3,7.5,7.9,761,99,10,7
2021,Volvo,V60 T8 AWD,Familiale : petite,65,2.0,4,AS8,B/Z*,3.2 ([29.0 kWh + 0.0 L]/100 km),35,3,Z,8.4,7.0,7.8,781,94,10,7
2021,Volvo,XC60 T8 AWD,VUS : petit,65,2.0,4,AS8,B/Z*,4.0 ([36.1 kWh + 0.0 L]/100 km),31,3,Z,9.8,8.7,9.3,769,125,9,7
2021,Volvo,XC90 T8 AWD,VUS : ordinaire,65,2.0,4,AS8,B/Z*,4.0 ([36.1 kWh + 0.0 L]/100 km),29,3,Z,9.1,8.4,8.8,813,120,9,7
2022,Audi,A7 Sportback 55 TFSI e quattro,Intermédiaire,105,2.0,4,AM7,B/Z*,3.4 ([29.9 kWh + 0.0 L]/100 km),42,3,Z,9.5,7.5,8.6,623,78,10,7
2022,Audi,Q5 55 TFSI e quattro,VUS : petit,105,2.0,4,AM7,B/Z*,3.9 ([34.7 kWh + 0.0 L]/100 km),37,3,Z,9.4,8.8,9.1,594,92,10,7
2022,Bentley,Flying Spur Hybrid,Intermédiaire,103,2.9,6,AM8,B/Z*,5.1 ([45.9 kWh + 0.0 L]/100 km),34,3,Z,13.7,10.7,12.3,653,156,7,5
2022,BMW,330e xDrive,Compacte,83,2.0,4,AS8,B/Z*,3.5 ([31.3 kWh + 0.0 L]/100 km),32,3,Z,10.7,7.9,9.4,436,119,9,7
2022,BMW,530e xDrive,Intermédiaire,83,2.0,4,AS8,B/Z*,3.8 ([32.9 kWh + 0.0 L]/100 km),31,3,Z,10.5,8.4,9.5,486,126,8,7
2022,BMW,745Le xDrive,Grande berline,83,3.0,6,AS8,B/Z*,4.2 ([37.4 kWh + 0.0 L]/100 km),27,3,Z,12.2,9.1,10.8,435,152,7,3
2022,BMW,X3 xDrive30e,VUS : petit,80,2.0,4,AS8,B/Z*,3.9 ([34.9 kWh + 0.0 L]/100 km),29,3,Z,11.0,8.6,9.9,512,127,8,7
2022,BMW,X5 xDrive45e,VUS : ordinaire,83,3.0,6,AS8,B/Z*,4.5 ([39.2 kWh + 0.0 L]/100 km),50,5,Z,12.2,10.6,11.5,602,110,9,7
2022,Chrysler,Pacifica Hybrid,Fourgonnette,89,3.6,6,AV,B/X*,2.9 ([25.8 kWh + 0.0 L]/100 km),51,2,X,8.0,7.9,8.0,784,74,10,7
2022,Ford,Escape Plug-in Hybrid,VUS : petit,62,2.5,4,AV,B/X*,2.2 ([20.2 kWh + 0.0 L]/100 km),60,3.3,X,5.5,6.2,5.8,784,48,10,7
2022,Hyundai,IONIQ Plug-in Hybrid,Intermédiaire,45,1.6,4,AM6,B/X*,2.0 ([17.4 kWh + 0.0 L]/100 km),47,2.3,X,4.5,4.6,4.5,954,46,10,7
2022,Hyundai,Santa Fe Plug-in Hybrid,VUS : petit,67,1.6,4,AM6,B/X*,3.1 ([27.5 kWh + 0.0 L]/100 km),50,3.4,X,7.1,7.3,7.2,655,69,10,7
2022,Hyundai,Tucson Plug-in Hybrid,VUS : petit,67,1.6,4,AM6,B/X*,2.9 ([25.9 kWh + 0.0 L]/100 km),53,1.7,X,6.8,6.6,6.7,626,62,10,7
2022,Jeep,Grand Cherokee 4xe,VUS : ordinaire,100,2.0,4,A8,B/X*,4.2 ([36.0 kWh + 0.0 L]/100 km),42,3.4,X,10.3,9.7,10.0,719,110,9,7
2022,Jeep,Wrangler 4xe,VUS : petit,100,2.0,4,A8,B/X*,4.8 ([42.2 kWh + 0.0 L]/100 km),35,2.4,X,11.6,11.9,11.7,557,143,8,5
2022,Kia,Niro Plug-in Hybrid,Familiale : petite,45,1.6,4,AM6,B/X*,2.2 ([19.7 kWh + 0.0 L]/100 km),42,2.25,X,4.9,5.3,5.1,853,56,10,7
2022,Kia,Sorento Plug-in Hybrid,VUS : petit,67,1.6,4,AM6,B/X*,3.0 ([26.4 kWh + 0.0 L]/100 km),51,3.4,X,6.7,7.1,6.9,681,65,10,7
2022,Lexus,NX 450h+ AWD,VUS : petit,134,2.5,4,AV6,B/Z*,2.8 ([24.7 kWh + 0.0 L]/100 km),61,4.5,Z,6.2,7.0,6.6,835,54,10,7
2022,Lincoln,Aviator Grand Touring,VUS : ordinaire,62,3.0,6,AS10,B/X*,4.2 ([37.3 kWh + 0.0 L]/100 km),34,3.5,X,10.9,9.6,10.3,713,130,8,7
2022,Lincoln,Corsair Grand Touring,VUS : petit,62,2.5,4,AV,B/X*,3.1 ([27.3 kWh + 0.0 L]/100 km),45,3.4,X,6.9,7.3,7.0,645,74,10,7
2022,MINI,Cooper SE Countryman ALL4,Intermédiaire,65,1.5,3,AS6,B/Z*,3.2 ([28.4 kWh + 0.0 L]/100 km),29,3,Z,8.1,7.9,8.0,451,109,9,3
2022,Mitsubishi,Outlander PHEV AWD,VUS : petit,70,2.4,4,A1,B/X*,3.2 ([28.2 kWh + 0.0 L]/100 km),39,4,X,9.2,9.0,9.1,470,103,9,7
2022,Porsche,Cayenne E-Hybrid,VUS : ordinaire,99,3.0,6,AS8,B/Z*,5.1 ([44.9 kWh + 0.0 L]/100 km),27,3,Z,11.8,10.6,11.3,666,160,7,5
2022,Porsche,Cayenne Turbo S E-Hybrid,VUS : ordinaire,99,4.0,8,AS8,B/Z*,5.6 ([51.2 kWh + 0.0 L]/100 km),24,3,Z,13.8,12.1,13.0,578,199,6,3
2022,Porsche,Panamera 4 E-Hybrid,Grande berline,70,2.9,6,AM8,B/Z*,4.5 ([39.6 kWh + 0.0 L]/100 km),31,3,Z,11.4,10.0,10.8,745,144,8,5
2022,Porsche,Panamera 4S E-Hybrid,Grande berline,70,2.9,6,AM8,B/Z*,4.7 ([40.9 kWh + 0.0 L]/100 km),31,3,Z,11.4,10.1,10.8,742,147,8,5
2022,Porsche,Panamera Turbo S E-Hybrid,Grande berline,70,4.0,8,AM8,B/Z*,4.9 ([43.8 kWh + 0.0 L]/100 km),27,3,Z,13.2,10.8,12.1,665,171,7,3
2022,Subaru,Crosstrek Hybrid AWD,VUS : petit,100,2.0,4,AV,B/X*,2.6 ([23.5 kWh + 0.0 L]/100 km),27,2,X,6.6,6.8,6.7,747,94,10,6
2022,Toyota,Prius Prime,Intermédiaire,71,1.8,4,AV,B/X*,1.8 ([15.8 kWh + 0.0 L]/100 km),40,2,X,4.3,4.4,4.3,995,49,10,7
2022,Toyota,RAV4 Prime,VUS : petit,134,2.5,4,AV,B/X*,2.5 ([22.3 kWh + 0.0 L]/100 km),68,4.5,X,5.7,6.4,6.0,911,44,10,7
2022,Volvo,S60 T8 AWD Recharge,Compacte,65,2.0,4,AS8,B/Z*,3.2 ([29.0 kWh + 0.0 L]/100 km),35,3,Z,8.4,7.0,7.8,781,94,10,7
2022,Volvo,S60 T8 AWD Recharge Extended Range,Compacte,107,2.0,4,AS8,B/Z*,3.0 ([27.2 kWh + 0.0 L]/100 km),64,5,Z,8.0,7.2,7.6,792,58,10,7
2022,Volvo,S90 T8 AWD Recharge,Intermédiaire,65,2.0,4,AS8,B/Z*,3.5 ([31.8 kWh + 0.0 L]/100 km),34,3,Z,8.3,7.5,7.9,761,100,9,7
2022,Volvo,S90 T8 AWD Recharge Extended Range,Intermédiaire,107,2.0,4,AS8,B/Z*,3.4 ([30.0 kWh + 0.0 L]/100 km),61,5,Z,8.5,7.6,8.1,748,65,10,7
2022,Volvo,V60 T8 AWD Recharge,Familiale : petite,65,2.0,4,AS8,B/Z*,3.2 ([29.0 kWh + 0.0 L]/100 km),35,3,Z,8.4,7.0,7.8,781,94,10,7
2022,Volvo,V60 T8 AWD Recharge Extended Range,Familiale : petite,107,2.0,4,AS8,B/Z*,3.0 ([27.2 kWh + 0.0 L]/100 km),64,5,Z,8.0,7.2,7.6,792,58,10,7
2022,Volvo,XC60 T8 AWD Recharge,VUS : petit,65,2.0,4,AS8,B/Z*,3.9 ([35.1 kWh + 0.0 L]/100 km),31,3,Z,9.7,8.7,9.3,769,126,8,7
2022,Volvo,XC60 T8 AWD Recharge Extended Range,VUS : petit,107,2.0,4,AS8,B/Z*,3.5 ([31.2 kWh + 0.0 L]/100 km),58,5,Z,8.5,8.5,8.5,838,72,10,7
2022,Volvo,XC90 T8 AWD Recharge,VUS : ordinaire,65,2.0,4,AS8,B/Z*,4.0 ([36.1 kWh + 0.0 L]/100 km),29,3,Z,9.1,8.4,8.8,813,120,9,7
2022,Volvo,XC90 T8 AWD Recharge Extended Range,VUS : ordinaire,107,2.0,4,AS8,B/Z*,3.4 ([30.6 kWh + 0.0 L]/100 km),58,5,Z,9.2,8.6,8.9,798,78,10,7
,,,,,,,,,,,,,,,,,,,
"* Lors des essais, ce véhicule na pas consommé de carburant en mode électrique. Par contre, selon vos habitudes de conduite, il est possible que vous consommiez du carburant en mode électrique à la suite dune charge complète.",,,,,,,,,,,,,,,,,,,
"À noter : Les constructeurs de véhicules utilisent la procédure dessais à cinq cycles, mise en place pour lannée modèle 2015, pour établir les cotes de consommation de carburant des véhicules légers neufs. Cette procédure donne des cotes de consommation de carburant qui",,,,,,,,,,,,,,,,,,,
"sont plus représentatives de la consommation de carburant obtenue sur la route. Afin de vous aider à comparer les véhicules de differentes années modèles, les cotes pour les véhicules de 1995 à 2014 ont été ajustées pour correspondre à la procédure dessai améliorée.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Explication de tableau,,,,,,,,,,,,,,,,,,,
Transmission,A = automatique,,,,,,,,,,,,,,,,,,
,AM = manuelle automatisée,,,,,,,,,,,,,,,,,,
,AS = automatique avec levier de vitesse de sélection,,,,,,,,,,,,,,,,,,
,AV = variation continue,,,,,,,,,,,,,,,,,,
,1  10 = nombres de rapports,,,,,,,,,,,,,,,,,,
Type de carburant,B = électricité,,,,,,,,,,,,,,,,,,
,X = essence ordinaire,,,,,,,,,,,,,,,,,,
,Z = essence super,,,,,,,,,,,,,,,,,,
Consommation,La cote de consommation de carburant combinée reflète une distance de parcours correspondant à 55 % en ville et 45 % sur la route. ,,,,,,,,,,,,,,,,,,
,"Le signifie litres équivalents dessence. Un litre d'essence contient l'énergie équivalant à 8,9 kWh d'électricité.",,,,,,,,,,,,,,,,,,
Autonomie,la distance de parcours estimative (en kilomètres) effectuée au moyen dune batterie complètement chargée ou dun réservoir rempli de carburant,,,,,,,,,,,,,,,,,,
Temps de recharge,la période de temps estimative (en heures) pour recharger complètement la batterie à une puissance de 240 volts,,,,,,,,,,,,,,,,,,
Émissions de CO2,"Les émissions d'échappement de dioxyde de carbone du véhicule sont affichées en grammes par kilomètre pour la conduite combinée, en ville et sur la route, et reflètent une combinaison du mode électrique et du mode essence seulement.",,,,,,,,,,,,,,,,,,
Indice de CO2,les émissions d'échappement de dioxyde de carbone classées sur une échelle de 1 (le pire) à 10 (le meilleur),,,,,,,,,,,,,,,,,,
Indice de smog,les émissions d'échappement des polluants à lorigine du smog du véhicule classées sur une échelle de 1 (le pire) à 10 (le meilleur),,,,,,,,,,,,,,,,,,
